Специальность|key_skills|skills
SEO-специалист|[' Составление семантического ядра', ' SEO оптимизация', 'SEO оптимизация', ' Аудит поисковой видимости сайта', ' SEO']|[' Составление семантического ядра', ' SEO оптимизация', 'SEO оптимизация', ' Аудит поисковой видимости сайта', ' SEO']
SMM-менеджер|[' Ведение групп в социальных сетях', 'SMM', ' Продвижение в социальных группах', ' Копирайтинг', ' SMM']|[' Ведение групп в социальных сетях', 'SMM', ' Продвижение в социальных группах', ' Копирайтинг', ' SMM']
Scrum Master|['Scrum', ' Agile Project Management', ' Управление проектами', ' Scrum', 'Agile Project Management']|['Scrum', ' Agile Project Management', ' Управление проектами', ' Scrum', 'Agile Project Management']
Team Lead|[' JavaScript', ' Git', ' PHP', ' AngularJS', ' C#']|[' JavaScript', ' Git', ' PHP', ' AngularJS', ' C#']
Technical Writer|['Английский язык', ' Technical Writing', ' Teambuilding', 'Technical Translation', ' Writing Skills']|['Английский язык', ' Technical Writing', ' Teambuilding', 'Technical Translation', ' Writing Skills']
UI/UX дизайнер|[' UI', ' UX', ' Дизайн интерфейсов', ' Adobe Photoshop', ' Проектирование пользовательских интерфейсов']|[' UI', ' UX', ' Дизайн интерфейсов', ' Adobe Photoshop', ' Проектирование пользовательских интерфейсов']
Unity разработчик|[' C#', 'Unity', ' Unity', ' iOS', ' Git']|[' C#', 'Unity', ' Unity', ' iOS', ' Git']
Web-программист|[' Adobe Photoshop', ' Adobe Illustrator', ' Графический дизайн', ' HTML', ' CSS']|[' Adobe Photoshop', ' Adobe Illustrator', ' Графический дизайн', ' HTML', ' CSS']
Администратор баз данных|[' SQL', ' MS SQL', ' PostgreSQL', ' Базы данных', ' Работа с базами данных']|[' SQL', ' MS SQL', ' PostgreSQL', ' Базы данных', ' Работа с базами данных']
Администратор баз данных Oracle|[' ORACLE', ' SQL', 'ORACLE', ' База данных: Oracle', ' Linux']|[' ORACLE', ' SQL', 'ORACLE', ' База данных: Oracle', ' Linux']
Администратор сайта|[' Администрирование сайтов', ' HTML', ' Adobe Photoshop', ' SEO', ' Наполнение контентом']|[' Администрирование сайтов', ' HTML', ' Adobe Photoshop', ' SEO', ' Наполнение контентом']
Аналитик|[' MS Excel', ' SQL', ' Аналитические исследования', ' Аналитическое мышление', ' MS PowerPoint']|[' MS Excel', ' SQL', ' Аналитические исследования', ' Аналитическое мышление', ' MS PowerPoint']
Аналитик данных|[' SQL', ' MS SQL', 'SQL', ' Анализ данных', ' Python']|[' SQL', ' MS SQL', 'SQL', ' Анализ данных', ' Python']
Аналитик-маркетолог|[' Анализ рынка', ' Маркетинговые исследования', ' SWOT анализ', ' Прогнозирование', ' MS PowerPoint']|[' Анализ рынка', ' Маркетинговые исследования', ' SWOT анализ', ' Прогнозирование', ' MS PowerPoint']
Арт-менеджер|[' Организаторские навыки', ' Работа в команде', ' Креативность', ' Ведение переговоров', ' Пользователь ПК']|[' Организаторские навыки', ' Работа в команде', ' Креативность', ' Ведение переговоров', ' Пользователь ПК']
Бизнес-аналитик 1С|[' Бизнес-анализ', ' MS Visio', ' Оптимизация бизнес-процессов', ' 1С: Бухгалтерия', ' IDEF0']|[' Бизнес-анализ', ' MS Visio', ' Оптимизация бизнес-процессов', ' 1С: Бухгалтерия', ' IDEF0']
Веб-аналитик|[' Яндекс.Метрика', ' Google Analytics', ' Веб-аналитика', 'Google Analytics', ' Аналитическое мышление']|[' Яндекс.Метрика', ' Google Analytics', ' Веб-аналитика', 'Google Analytics', ' Аналитическое мышление']
Ведущий аналитик|[' SQL', ' MS Excel', 'SQL', ' BPMN', ' Разработка технических заданий']|[' SQL', ' MS Excel', 'SQL', ' BPMN', ' Разработка технических заданий']
Ведущий бизнес-аналитик|[' Бизнес-анализ', ' MS Visio', ' Управление проектами', ' Оптимизация бизнес-процессов', ' Моделирование бизнес процессов']|[' Бизнес-анализ', ' MS Visio', ' Управление проектами', ' Оптимизация бизнес-процессов', ' Моделирование бизнес процессов']
Видеограф|[' Видеосъемка', ' Обработка видео', ' Видеомонтаж', ' Adobe Photoshop', 'Видеомонтаж']|[' Видеосъемка', ' Обработка видео', ' Видеомонтаж', ' Adobe Photoshop', 'Видеомонтаж']
Видеомонтажер|[' Обработка видео', ' Видеомонтаж', ' Adobe After Effect', ' Adobe Premier Pro', 'Видеомонтаж']|[' Обработка видео', ' Видеомонтаж', ' Adobe After Effect', ' Adobe Premier Pro', 'Видеомонтаж']
Видеооператор|[' Обработка видео', ' Видеомонтаж', ' Видеосъемка', 'Видеосъемка', ' Adobe Premier Pro']|[' Обработка видео', ' Видеомонтаж', ' Видеосъемка', 'Видеосъемка', ' Adobe Premier Pro']
Дизайнер презентаций|[' MS PowerPoint', ' Adobe Illustrator', ' Adobe Photoshop', ' Подготовка презентаций', ' Пользователь ПК']|[' MS PowerPoint', ' Adobe Illustrator', ' Adobe Photoshop', ' Подготовка презентаций', ' Пользователь ПК']
Дизайнер-визуализатор|[' Adobe Photoshop', ' Дизайн интерьера', ' Визуализация', ' AutoCAD', ' 3D Моделирование']|[' Adobe Photoshop', ' Дизайн интерьера', ' Визуализация', ' AutoCAD', ' 3D Моделирование']
Дизайнер-консультант|[' Грамотная речь', ' Навыки продаж', ' Работа в команде', ' Пользователь ПК', ' Активные продажи']|[' Грамотная речь', ' Навыки продаж', ' Работа в команде', ' Пользователь ПК', ' Активные продажи']
Дизайнер-проектировщик|[' Adobe Photoshop', 'AutoCAD', ' CorelDRAW', ' AutoCAD', ' Пользователь ПК']|[' Adobe Photoshop', 'AutoCAD', ' CorelDRAW', ' AutoCAD', ' Пользователь ПК']
Дизайнер-художник|[' CorelDRAW', 'Adobe Photoshop', ' Adobe Photoshop', ' Графический дизайн', ' Дизайн']|[' CorelDRAW', 'Adobe Photoshop', ' Adobe Photoshop', ' Графический дизайн', ' Дизайн']
Заместитель технического директора|[' Руководство коллективом', ' Пользователь ПК', ' Организаторские навыки', ' Управленческие навыки', ' Управление персоналом']|[' Руководство коллективом', ' Пользователь ПК', ' Организаторские навыки', ' Управленческие навыки', ' Управление персоналом']
Инженер АСУ|[' АСУ ТП', ' Автоматизация технологических процессов', ' Проектная документация', ' Инженерные системы', ' КИПиА']|[' АСУ ТП', ' Автоматизация технологических процессов', ' Проектная документация', ' Инженерные системы', ' КИПиА']
Инженер АСУТП|[' Автоматизация технологических процессов', ' AutoCAD', ' КИПиА', ' Автоматизация', ' Техническое обслуживание']|[' Автоматизация технологических процессов', ' AutoCAD', ' КИПиА', ' Автоматизация', ' Техническое обслуживание']
Инженер по техническому обслуживанию|[' Техническое обслуживание', ' Монтаж оборудования', ' Ремонтные работы', ' Пользователь ПК', ' Техническая эксплуатация']|[' Техническое обслуживание', ' Монтаж оборудования', ' Ремонтные работы', ' Пользователь ПК', ' Техническая эксплуатация']
Инженер проекта|['AutoCAD', ' Проектная документация', ' Управление проектами', ' Пользователь ПК', ' AutoCAD']|['AutoCAD', ' Проектная документация', ' Управление проектами', ' Пользователь ПК', ' AutoCAD']
Инженер связи|['Монтаж оборудования', ' TCP/IP', 'Пользователь ПК', ' Пользователь ПК', ' Монтаж оборудования']|['Монтаж оборудования', ' TCP/IP', 'Пользователь ПК', ' Пользователь ПК', ' Монтаж оборудования']
Инженер сервисной службы|[' Техническое обслуживание', ' Работа в команде', ' Ремонтные работы', ' Монтаж оборудования', ' Пользователь ПК']|[' Техническое обслуживание', ' Работа в команде', ' Ремонтные работы', ' Монтаж оборудования', ' Пользователь ПК']
Инженер технического отдела|['AutoCAD', ' Проектная документация', ' AutoCAD', ' Управление проектами', 'Пользователь ПК']|['AutoCAD', ' Проектная документация', ' AutoCAD', ' Управление проектами', 'Пользователь ПК']
Инженер технической поддержки|[' Настройка сетевых подключений', ' Настройка ПО', ' Настройка ПК', ' Windows 7', ' Техническая поддержка']|[' Настройка сетевых подключений', ' Настройка ПО', ' Настройка ПК', ' Windows 7', ' Техническая поддержка']
Инженер-программист|[' SQL', ' JavaScript', ' HTML', ' CSS', ' Git']|[' SQL', ' JavaScript', ' HTML', ' CSS', ' Git']
Инженер-программист АСУ ТП|[' Автоматизация технологических процессов', ' АСУ ТП', ' Автоматизация производства', ' SCADA', 'АСУ ТП']|[' Автоматизация технологических процессов', ' АСУ ТП', ' Автоматизация производства', ' SCADA', 'АСУ ТП']
Инженер-программист микроконтроллеров|[' C/C++', 'C/C++', ' Git', ' STM32', ' Linux']|[' C/C++', 'C/C++', ' Git', ' STM32', ' Linux']
Инженер-проектировщик ОВ|['AutoCAD', ' Разработка проектной документации', ' AutoCAD', ' Проектная документация', ' Autodesk Revit']|['AutoCAD', ' Разработка проектной документации', ' AutoCAD', ' Проектная документация', ' Autodesk Revit']
Инженер-разработчик|[' SQL', ' Linux', ' Чтение электросхем', ' Git', ' Разработка технических заданий']|[' SQL', ' Linux', ' Чтение электросхем', ' Git', ' Разработка технических заданий']
Интернет-маркетолог|[' Интернет-реклама', ' Контекстная реклама', ' Google Analytics', ' Яндекс.Метрика', ' Google AdWords']|[' Интернет-реклама', ' Контекстная реклама', ' Google Analytics', ' Яндекс.Метрика', ' Google AdWords']
Категорийный менеджер|[' Ведение переговоров', ' Заключение договоров', ' Закупки', ' Закупка товаров и услуг', ' Ценообразование']|[' Ведение переговоров', ' Заключение договоров', ' Закупки', ' Закупка товаров и услуг', ' Ценообразование']
Комьюнити-менеджер|[' Грамотная речь', ' Английский язык', ' Грамотность', ' Работа в команде', ' Креативность']|[' Грамотная речь', ' Английский язык', ' Грамотность', ' Работа в команде', ' Креативность']
Консультант SAP|['SAP ERP', ' SAP', 'SAP', ' SAP MM', ' SAP CRM']|['SAP ERP', ' SAP', 'SAP', ' SAP MM', ' SAP CRM']
Контент-менеджер|[' Наполнение контентом', ' Написание текстов', ' Копирайтинг', ' Грамотность', ' Adobe Photoshop']|[' Наполнение контентом', ' Написание текстов', ' Копирайтинг', ' Грамотность', ' Adobe Photoshop']
Копирайтер|[' Написание текстов', ' Копирайтинг', ' Написание статей', ' Грамотность', 'Копирайтинг']|[' Написание текстов', ' Копирайтинг', ' Написание статей', ' Грамотность', 'Копирайтинг']
Креативный дизайнер|[' Adobe Photoshop', ' Adobe Illustrator', ' Графический дизайн', ' Adobe InDesign', ' Креативность']|[' Adobe Photoshop', ' Adobe Illustrator', ' Графический дизайн', ' Adobe InDesign', ' Креативность']
Курьер в интернет-магазин|[' Грамотная речь', 'Грамотная речь', ' Ориентация на клиента', 'Доброжелательность', ' Работа в команде']|[' Грамотная речь', 'Грамотная речь', ' Ориентация на клиента', 'Доброжелательность', ' Работа в команде']
Макетчик|['Наружная реклама', ' CorelDRAW', 'аккуратность', ' пунктуальность', ' AutoCAD']|['Наружная реклама', ' CorelDRAW', 'аккуратность', ' пунктуальность', ' AutoCAD']
Мастер по ремонту компьютеров|[' Настройка ПК', ' Сборка ПК', 'Ремонт ПК', ' Настройка ПО', ' Настройка сетевых подключений']|[' Настройка ПК', ' Сборка ПК', 'Ремонт ПК', ' Настройка ПО', ' Настройка сетевых подключений']
Менеджер интернет проектов|[' Управление проектами', ' Управление интернет-проектами', ' Интернет-реклама', ' SEO', ' Яндекс.Метрика']|[' Управление проектами', ' Управление интернет-проектами', ' Интернет-реклама', ' SEO', ' Яндекс.Метрика']
Менеджер интернет-магазина|[' Грамотная речь', ' Пользователь ПК', ' Телефонные переговоры', ' Работа в команде', ' Навыки продаж']|[' Грамотная речь', ' Пользователь ПК', ' Телефонные переговоры', ' Работа в команде', ' Навыки продаж']
Менеджер по продажам IT услуг|[' Активные продажи', ' Поиск и привлечение клиентов', ' Ведение переговоров', ' B2B Продажи', ' Телефонные переговоры']|[' Активные продажи', ' Поиск и привлечение клиентов', ' Ведение переговоров', ' B2B Продажи', ' Телефонные переговоры']
Менеджер по рекламе|[' Пользователь ПК', ' Грамотная речь', ' Интернет-реклама', ' Реклама', ' CorelDRAW']|[' Пользователь ПК', ' Грамотная речь', ' Интернет-реклама', ' Реклама', ' CorelDRAW']
Младший аналитик|[' Английский язык', ' Аналитическое мышление', 'SQL', 'MS Excel', ' SQL']|[' Английский язык', ' Аналитическое мышление', 'SQL', 'MS Excel', ' SQL']
Моушн-дизайнер|[' Adobe Photoshop', ' Adobe Illustrator', ' Adobe After Effect', ' Cinema 4D', 'Adobe After Effect']|[' Adobe Photoshop', ' Adobe Illustrator', ' Adobe After Effect', ' Cinema 4D', 'Adobe After Effect']
Оператор 1С|[' Пользователь ПК', ' 1С: Предприятие 8', ' 1С: Документооборот', ' 1С: Торговля и склад', ' Работа с большим объемом информации']|[' Пользователь ПК', ' 1С: Предприятие 8', ' 1С: Документооборот', ' 1С: Торговля и склад', ' Работа с большим объемом информации']
Оператор ПК|[' Пользователь ПК', 'Пользователь ПК', ' Работа с большим объемом информации', ' Работа в команде', ' Грамотная речь']|[' Пользователь ПК', 'Пользователь ПК', ' Работа с большим объемом информации', ' Работа в команде', ' Грамотная речь']
Оператор базы данных|[' Пользователь ПК', ' Работа в команде', ' 1С: Предприятие 8', 'Грамотная речь', ' Деловое общение']|[' Пользователь ПК', ' Работа в команде', ' 1С: Предприятие 8', 'Грамотная речь', ' Деловое общение']
Оператор видеонаблюдения|['Пользователь ПК', ' Пользователь ПК', 'Системы видеонаблюдения', ' Системы видеонаблюдения', ' Работа с большим объемом информации']|['Пользователь ПК', ' Пользователь ПК', 'Системы видеонаблюдения', ' Системы видеонаблюдения', ' Работа с большим объемом информации']
Оператор связи|[' Работа в команде', ' Пользователь ПК', ' Грамотная речь', 'Пользователь ПК', ' Работа с базами данных']|[' Работа в команде', ' Пользователь ПК', ' Грамотная речь', 'Пользователь ПК', ' Работа с базами данных']
Оператор цифровой печати|[' CorelDRAW', 'Adobe Photoshop', ' Adobe Photoshop', ' Adobe Acrobat', ' Пользователь ПК']|[' CorelDRAW', 'Adobe Photoshop', ' Adobe Photoshop', ' Adobe Acrobat', ' Пользователь ПК']
Преподаватель информатики|[' Обучение', 'Преподаватель', ' Грамотная речь', ' Работа в команде', ' Пользователь ПК']|[' Обучение', 'Преподаватель', ' Грамотная речь', ' Работа в команде', ' Пользователь ПК']
Преподаватель робототехники|[' Работа в команде', ' Преподаватель', ' Пользователь ПК', ' Обучение и развитие', ' Обучение']|[' Работа в команде', ' Преподаватель', ' Пользователь ПК', ' Обучение и развитие', ' Обучение']
Программист C Sharp|[' Linux', ' Git', 'SQL', ' TCP/IP', 'Linux']|[' Linux', ' Git', 'SQL', ' TCP/IP', 'Linux']
Программист Delphi|['Delphi', ' SQL', ' Borland Delphi', ' Delphi', ' ООП']|['Delphi', ' SQL', ' Borland Delphi', ' Delphi', ' ООП']
Программист SQL|[' SQL', 'SQL', ' MS SQL', ' MS SQL Server', ' Transact-SQL']|[' SQL', 'SQL', ' MS SQL', ' MS SQL Server', ' Transact-SQL']
Программист С++|['C++', ' Linux', ' C++', ' Git', ' Qt']|['C++', ' Linux', ' C++', ' Git', ' Qt']
Программист-стажер|[' SQL', '1С программирование', ' ООП', ' JavaScript', ' Linux']|[' SQL', '1С программирование', ' ООП', ' JavaScript', ' Linux']
Разработчик 1С|['1С программирование', ' 1С: Предприятие 8', ' 1С: Бухгалтерия', ' 1С: Зарплата и управление персоналом', ' 1С программирование']|['1С программирование', ' 1С: Предприятие 8', ' 1С: Бухгалтерия', ' 1С: Зарплата и управление персоналом', ' 1С программирование']
Разработчик BI|[' SQL', ' MS SQL', 'SQL', ' ETL', ' MS SQL Server']|[' SQL', ' MS SQL', 'SQL', ' ETL', ' MS SQL Server']
Разработчик Oracle|[' SQL', ' Oracle Pl/SQL', 'ORACLE', 'Oracle Pl/SQL', ' ORACLE']|[' SQL', ' Oracle Pl/SQL', 'ORACLE', 'Oracle Pl/SQL', ' ORACLE']
Разработчик баз данных|[' SQL', ' MS SQL', ' Oracle Pl/SQL', ' PostgreSQL', ' ORACLE']|[' SQL', ' MS SQL', ' Oracle Pl/SQL', ' PostgreSQL', ' ORACLE']
Разработчик мобильных приложений|[' iOS', ' Android', ' Git', ' Java', ' JavaScript']|[' iOS', ' Android', ' Git', ' Java', ' JavaScript']
Руководитель IT проектов|[' Управление проектами', 'Управление проектами', ' MS Project', ' Работа в команде', ' Scrum']|[' Управление проектами', 'Управление проектами', ' MS Project', ' Работа в команде', ' Scrum']
Руководитель сервисной службы|[' Организаторские навыки', ' Управление персоналом', ' Работа в команде', 'Организаторские навыки', ' Ведение переговоров']|[' Организаторские навыки', ' Управление персоналом', ' Работа в команде', 'Организаторские навыки', ' Ведение переговоров']
Руководитель технического отдела|[' Организаторские навыки', ' Ведение переговоров', ' Руководство коллективом', ' Управление проектами', ' Пользователь ПК']|[' Организаторские навыки', ' Ведение переговоров', ' Руководство коллективом', ' Управление проектами', ' Пользователь ПК']
Сервис-инженер|[' Навыки продаж', ' Работа в команде', ' Монтаж оборудования', ' Пользователь ПК', ' Грамотная речь']|[' Навыки продаж', ' Работа в команде', ' Монтаж оборудования', ' Пользователь ПК', ' Грамотная речь']
Сервис-менеджер|[' Грамотная речь', ' Пользователь ПК', ' Работа в команде', ' Деловая переписка', ' Ведение переговоров']|[' Грамотная речь', ' Пользователь ПК', ' Работа в команде', ' Деловая переписка', ' Ведение переговоров']
Сервисный инженер|[' Техническое обслуживание', ' Пользователь ПК', ' Настройка ПК', ' Монтаж оборудования', ' Настройка ПО']|[' Техническое обслуживание', ' Пользователь ПК', ' Настройка ПК', ' Монтаж оборудования', ' Настройка ПО']
Сервисный консультант|[' Работа в команде', ' Знание устройства автомобиля', ' Грамотная речь', ' Пользователь ПК', ' Ведение переговоров']|[' Работа в команде', ' Знание устройства автомобиля', ' Грамотная речь', ' Пользователь ПК', ' Ведение переговоров']
Системный администратор|[' Администрирование сетевого оборудования', ' Администрирование серверов Windows', ' Настройка сетевых подключений', ' Настройка ПК', ' Настройка ПО']|[' Администрирование сетевого оборудования', ' Администрирование серверов Windows', ' Настройка сетевых подключений', ' Настройка ПК', ' Настройка ПО']
Системный аналитик|[' SQL', ' Разработка технических заданий', ' Системный анализ', ' UML', ' Бизнес-анализ']|[' SQL', ' Разработка технических заданий', ' Системный анализ', ' UML', ' Бизнес-анализ']
Специалист 1С|[' 1С: Предприятие 8', ' Пользователь ПК', ' 1С: Управление Торговлей', ' 1С: Документооборот', ' 1С: Бухгалтерия']|[' 1С: Предприятие 8', ' Пользователь ПК', ' 1С: Управление Торговлей', ' 1С: Документооборот', ' 1С: Бухгалтерия']
Специалист по IT|[' Настройка сетевых подключений', ' Настройка ПК', ' Настройка ПО', ' Администрирование сетевого оборудования', ' Windows 7']|[' Настройка сетевых подключений', ' Настройка ПК', ' Настройка ПО', ' Администрирование сетевого оборудования', ' Windows 7']
Специалист по внедрению и сопровождению ПО|[' SQL', ' Техническая поддержка', ' Грамотная речь', ' Управление проектами', ' Информационные технологии']|[' SQL', ' Техническая поддержка', ' Грамотная речь', ' Управление проектами', ' Информационные технологии']
Специалист по защите информации|['Информационная безопасность', ' Технические средства информационной защиты', ' Информационная безопасность', ' Информационные технологии', ' Средства\\xa0криптографической\\xa0защиты\\xa0информации']|['Информационная безопасность', ' Технические средства информационной защиты', ' Информационная безопасность', ' Информационные технологии', ' Средства\\xa0криптографической\\xa0защиты\\xa0информации']
Специалист по информационной безопасности|['Информационная безопасность', ' Информационные технологии', ' Информационная безопасность', ' Технические средства информационной защиты', ' Аудит безопасности']|['Информационная безопасность', ' Информационные технологии', ' Информационная безопасность', ' Технические средства информационной защиты', ' Аудит безопасности']
Специалист по контекстной рекламе / Директолог|[' Яндекс.Метрика', ' Google AdWords', ' Google Analytics', ' Контекстная реклама', ' Интернет-реклама']|[' Яндекс.Метрика', ' Google AdWords', ' Google Analytics', ' Контекстная реклама', ' Интернет-реклама']
Специалист по обработке данных|[' Работа с базами данных', ' Пользователь ПК', ' Работа с большим объемом информации', ' Деловая переписка', ' Поиск информации в интернет']|[' Работа с базами данных', ' Пользователь ПК', ' Работа с большим объемом информации', ' Деловая переписка', ' Поиск информации в интернет']
Специалист по сбору информации|[' Работа с большим объемом информации', ' Грамотная речь', ' Пользователь ПК', ' Навыки межличностного общения', ' Ориентация на результат']|[' Работа с большим объемом информации', ' Грамотная речь', ' Пользователь ПК', ' Навыки межличностного общения', ' Ориентация на результат']
Специалист по сопровождению ПО|[' Техническая поддержка', 'SQL', ' SQL', ' XML', ' MS SQL']|[' Техническая поддержка', 'SQL', ' SQL', ' XML', ' MS SQL']
Специалист по тестированию ПО|[' Функциональное тестирование', ' Тестирование', ' SQL', ' Atlassian Jira', ' Тестирование пользовательского интерфейса']|[' Функциональное тестирование', ' Тестирование', ' SQL', ' Atlassian Jira', ' Тестирование пользовательского интерфейса']
Специалист сервисного центра|[' Пользователь ПК', ' Грамотная речь', ' Навыки продаж', ' Клиентоориентированность', 'Грамотная речь']|[' Пользователь ПК', ' Грамотная речь', ' Навыки продаж', ' Клиентоориентированность', 'Грамотная речь']
Специалист технического отдела|[' Ответственность', ' Пользователь ПК', ' Стрессоустойчивость', ' Грамотная речь', ' Работа в команде']|[' Ответственность', ' Пользователь ПК', ' Стрессоустойчивость', ' Грамотная речь', ' Работа в команде']
Старший аналитик|[' SQL', ' UML', ' Аналитическое мышление', ' Аналитические исследования', 'MS Excel']|[' SQL', ' UML', ' Аналитическое мышление', ' Аналитические исследования', 'MS Excel']
Телемаркетолог|[' Телефонные переговоры', ' Грамотная речь', ' Пользователь ПК', ' Ведение переговоров', ' Холодные продажи']|[' Телефонные переговоры', ' Грамотная речь', ' Пользователь ПК', ' Ведение переговоров', ' Холодные продажи']
Тестировщик ПО|[' Тестирование', ' Функциональное тестирование', ' SQL', ' Тестирование пользовательского интерфейса', ' Test case']|[' Тестирование', ' Функциональное тестирование', ' SQL', ' Тестирование пользовательского интерфейса', ' Test case']
Технический дизайнер|[' Adobe Photoshop', 'Adobe Illustrator', ' Графический дизайн', ' CorelDRAW', ' Adobe Illustrator']|[' Adobe Photoshop', 'Adobe Illustrator', ' Графический дизайн', ' CorelDRAW', ' Adobe Illustrator']
Технический директор|[' Организаторские навыки', ' Руководство коллективом', ' Управление проектами', ' Управление производством', ' Управление персоналом']|[' Организаторские навыки', ' Руководство коллективом', ' Управление проектами', ' Управление производством', ' Управление персоналом']
Технический менеджер|[' Пользователь ПК', 'AutoCAD', ' Работа в команде', ' Деловое общение', ' Scrum']|[' Пользователь ПК', 'AutoCAD', ' Работа в команде', ' Деловое общение', ' Scrum']
Технический писатель|[' Разработка технических заданий', ' Грамотность', ' MS Visio', ' Грамотная речь', ' Техническая документация']|[' Разработка технических заданий', ' Грамотность', ' MS Visio', ' Грамотная речь', ' Техническая документация']
